Fecha Publicación,OP,Entidad,Dispositivo,Número,Sumilla,Link,Fecha Corte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2367155-1,SUPERINTENDENCIA NACIONAL DE MIGRACIONES,RESOLUCION,N° 000018-2025-MIGRACIONES,Aprueban el Protocolo Exigencias para el control migratorio de ingreso o salida del país de nacionales y extranjeros con código: M01.DRCM.PTL.001 versión 02,https://busquedas.elperuano.pe/dispositivo/NL/2367155-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2367159-1,SUPERINTENDENCIA NACIONAL DE SALUD,RESOLUCION,N° 005-2025-SUSALUD/S,Designan Ejecutor Coactivo de la Superintendencia Nacional de Salud,https://busquedas.elperuano.pe/dispositivo/NL/2367159-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2367117-1,CONSEJO EJECUTIVO DEL PODER JUDICIAL,RESOLUCION ADMINISTRATIVA,N° 000028-2025-CE-PJ,Disponen ampliación de la implementación del Expediente Judicial Electrónico (EJE) y la Mesa de Partes Electrónica (MPE) para diversas especialidades en Juzgados de Familia Permanentes de la provincia de Pisco Corte Superior de Justicia de Ica,https://busquedas.elperuano.pe/dispositivo/NL/2367117-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2367122-1,CONSEJO EJECUTIVO DEL PODER JUDICIAL,RESOLUCION ADMINISTRATIVA,N° 000030-2025-CE-PJ,Modifican el numeral 5.24 del artículo quinto de la Resolución Administrativa N° 000449-2024-CE-PJ emitida por el Consejo Ejecutivo del Poder Judicial,https://busquedas.elperuano.pe/dispositivo/NL/2367122-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2367126-1,CONSEJO EJECUTIVO DEL PODER JUDICIAL,RESOLUCION ADMINISTRATIVA,N° 000031-2025-CE-PJ,Aprueban el Plan de Capacitaciones sobre la Aplicación de la Meritocracia para el Proceso de Valoración de Méritos de Jueces Titulares a Nivel Nacional correspondiente al año 2025,https://busquedas.elperuano.pe/dispositivo/NL/2367126-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2367128-1,CONSEJO EJECUTIVO DEL PODER JUDICIAL,RESOLUCION ADMINISTRATIVA,N° 000032-2025-CE-PJ,Disponen la creación de ocho órganos jurisdiccionales en la Corte Superior de Justicia de Lima cuyo monitoreo se encuentra bajo la competencia de la Comisión Nacional de Productividad Judicial,https://busquedas.elperuano.pe/dispositivo/NL/2367128-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2367132-1,CONSEJO EJECUTIVO DEL PODER JUDICIAL,RESOLUCION ADMINISTRATIVA,N° 000033-2025-CE-PJ,Aprueban el Plan de Trabajo 2025 de la Comisión de Justicia de Género del Poder Judicial,https://busquedas.elperuano.pe/dispositivo/NL/2367132-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2367114-1,CONSEJO EJECUTIVO DEL PODER JUDICIAL,RESOLUCION ADMINISTRATIVA,N° 000027-2025-CE-PJ,Prorrogan funcionamiento de la Segunda Sala de Derecho Constitucional y Social Transitoria de la Corte Suprema de Justicia de la República,https://busquedas.elperuano.pe/dispositivo/NL/2367114-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2367081-1,CONSEJO EJECUTIVO DEL PODER JUDICIAL,RESOLUCION ADMINISTRATIVA,N° 000009-2025-P-CE-PJ,Cesan por límite de edad a Jueza Superior titular de la Corte Superior de Justicia de Lima,https://busquedas.elperuano.pe/dispositivo/NL/2367081-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31/01/2025,2367105-1,CONSEJO EJECUTIVO DEL PODER JUDICIAL,RESOLUCION ADMINISTRATIVA,N° 000024-2025-CE-PJ,Prorrogan el funcionamiento de la Quinta Sala de Derecho Constitucional y Social Transitoria de la Corte Suprema de Justicia de la República y dictan otras disposiciones,https://busquedas.elperuano.pe/dispositivo/NL/2367105-1,31/01/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
